"","Control 1 (SRR5074528)","Control 2 (SRR5074529)"," Organophosphate 1 (SRR5074530)","Organophosphate 2 (SRR5074531)","Taxonomy"
"1245",1,0,1,0,"Leuconostoc mesenteroides"
"1246",1,0,0,0,"Leuconostoc lactis"
"1247",1,0,1,0,"Oenococcus oeni"
"1253",1,0,0,0,"Pediococcus"
"1254",1,0,0,0,"Pediococcus acidilactici"
"1255",1,0,0,0,"Pediococcus pentosaceus"
"1260",0,1,1,0,"Finegoldia magna"
"1268",1,0,1,1,"Micrococcaceae"
"1270",1,0,1,0,"Micrococcus luteus"
"1275",1,0,0,0,"Kocuria rosea"
"1282",1,0,1,0,"Staphylococcus epidermidis"
"1283",1,1,1,0,"Staphylococcus haemolyticus"
"1286",1,0,1,0,"Staphylococcus simulans"
"1288",1,0,0,0,"Staphylococcus xylosus"
"1290",1,0,1,0,"Staphylococcus hominis"
"1292",0,0,0,1,"Staphylococcus warneri"
"1296",1,0,0,0,"Staphylococcus sciuri"
"1300",0,1,1,1,"Streptococcaceae"
"1302",0,0,1,0,"Streptococcus gordonii"
"1305",0,0,1,0,"Streptococcus sanguinis"
"1308",1,0,0,0,"Streptococcus thermophilus"
"1309",1,0,1,0,"Streptococcus mutans"
"1313",0,0,1,1,"Streptococcus pneumoniae"
"1326",0,0,1,0,"Streptococcus acidominimus"
"1328",0,0,1,0,"Streptococcus anginosus"
"1335",1,0,1,1,"Streptococcus equinus"
"1338",0,1,0,0,"Streptococcus intermedius"
"1340",1,0,0,0,"Streptococcus porcinus"
"1341",0,1,0,0,"Streptococcus ratti"
"1345",0,0,1,0,"Streptococcus ferus"
"1346",0,0,1,0,"Streptococcus iniae"
"1349",1,0,0,0,"Streptococcus uberis"
"1350",1,0,1,1,"Enterococcus"
"1351",1,0,1,1,"Enterococcus faecalis"
"1352",1,0,1,0,"Enterococcus faecium"
"1354",1,0,1,1,"Enterococcus hirae"
"1357",1,0,1,1,"Lactococcus"
"1358",1,0,0,0,"Lactococcus lactis"
"1364",1,0,1,1,"Lactococcus piscium"
"1372",0,0,1,0,"Planococcus"
"1378",1,1,1,0,"Gemella"
"1388",0,0,1,0,"Alicyclobacillus acidocaldarius subsp. acidocaldarius"
"1390",0,1,1,0,"Bacillus amyloliquefaciens"
"1392",1,0,1,0,"Bacillus anthracis"
"1393",1,0,0,0,"Brevibacillus brevis"
"1396",1,0,0,0,"Bacillus cereus"
"1398",1,0,1,1,"Bacillus coagulans"
"1401",1,0,1,0,"Paenibacillus lautus"
"1402",0,0,1,0,"Bacillus licheniformis"
"1404",0,0,1,0,"Bacillus megaterium"
"1405",0,0,1,0,"Bacillus mycoides"
"1406",1,1,1,0,"Paenibacillus polymyxa"
"1408",1,0,1,1,"Bacillus pumilus"
"1423",0,1,1,0,"Bacillus subtilis"
"1428",1,0,1,0,"Bacillus thuringiensis"
"1441",0,0,1,0,"Bacillus thuringiensis serovar morrisoni"
"1452",0,0,1,0,"Bacillus atrophaeus"
"1464",1,1,1,0,"Paenibacillus larvae"
"1465",1,0,1,1,"Brevibacillus laterosporus"
"1467",1,0,1,0,"Bacillus lentus"
"1474",1,0,0,0,"Sporosarcina pasteurii"
"1476",1,0,0,0,"Sporosarcina psychrophila"
"1478",1,0,0,0,"Bacillus simplex"
"1482",1,0,1,0,"Virgibacillus halodenitrificans"
"1494",1,0,1,0,"Clostridium cochlearium"
"1504",1,0,0,0,"Clostridium septicum"
"1505",1,1,1,0,"Paeniclostridium sordellii"
"1515",1,0,1,0,"Hungateiclostridium thermocellum"
"1517",0,0,1,1,"Thermoanaerobacterium thermosaccharolyticum"
"1520",0,1,1,1,"Clostridium beijerinckii"
"1525",1,0,1,0,"Moorella thermoacetica"
"1542",0,0,0,1,"Clostridium novyi"
"1548",1,0,1,0,"Clostridium scatologenes"
"1552",0,1,1,1,"Clostridium estertheticum subsp. estertheticum"
"1562",1,1,1,0,"Desulfotomaculum"
"1569",1,0,0,0,"Sporosarcina"
"1570",0,0,1,0,"Halobacillus halophilus"
"1571",1,0,0,1,"Sporosarcina ureae"
"1580",1,1,0,0,"Lactobacillus brevis"
"1581",0,0,1,0,"Lactobacillus buchneri"
"1582",1,1,1,0,"Lactobacillus casei"
"1583",0,0,1,0,"Weissella confusa"
"1590",0,0,1,1,"Lactobacillus plantarum"
"1596",1,0,1,0,"Lactobacillus gasseri"
"1599",0,0,1,0,"Lactobacillus sakei"
"1600",1,0,1,1,"Lactobacillus acetotolerans"
"1605",1,0,0,0,"Lactobacillus animalis"
"1607",1,1,1,0,"Lactobacillus bifermentans"
"1610",0,0,1,0,"Lactobacillus coryniformis"
"1614",1,1,1,0,"Lactobacillus fructivorans"
"1618",1,0,1,0,"Lactobacillus mali"
"1624",1,0,1,0,"Lactobacillus salivarius"
"1625",0,0,0,1,"Lactobacillus sanfranciscensis"
"1629",1,0,0,0,"Weissella viridescens"
"1637",1,0,1,0,"Listeria"
"1638",0,0,1,0,"Listeria ivanovii"
"1639",1,1,0,1,"Listeria monocytogenes"
"1641",1,0,0,0,"Listeria grayi"
"1642",1,0,0,0,"Listeria innocua"
"1643",0,0,1,0,"Listeria welshimeri"
"1646",0,0,1,0,"Renibacterium salmoninarum"
"1648",0,0,1,0,"Erysipelothrix rhusiopathiae"
"1654",0,1,1,0,"Actinomyces"
"1660",1,0,0,0,"Schaalia odontolytica"
"1661",0,0,1,0,"Trueperella pyogenes"
"1663",1,0,0,1,"Arthrobacter"
"1681",1,0,1,0,"Bifidobacterium bifidum"
"1684",0,0,0,1,"Bifidobacterium asteroides"
"1685",1,0,0,0,"Bifidobacterium breve"
"1689",0,0,1,0,"Bifidobacterium dentium"
"1697",1,0,1,0,"Corynebacterium ammoniagenes"
"1705",1,0,1,0,"Corynebacterium stationis"
"1707",1,0,0,0,"Cellulomonas"
"1708",0,1,1,0,"Cellulomonas fimi"
"1717",1,0,1,0,"Corynebacterium diphtheriae"
"1718",0,1,1,0,"Corynebacterium glutamicum"
"1719",0,0,1,0,"Corynebacterium pseudotuberculosis"
"1724",0,0,1,0,"Corynebacterium renale"
"1725",0,0,1,0,"Corynebacterium xerosis"
"1736",1,0,1,1,"Eubacterium limosum"
"1740",0,1,0,0,"Thermodesulfobacterium"
"1744",0,1,1,0,"Propionibacterium freudenreichii"
"1748",0,0,1,0,"Acidipropionibacterium acidipropionici"
"1750",0,0,1,0,"Pseudopropionibacterium propionicum"
"1762",1,0,1,1,"Mycobacteriaceae"
"1763",0,0,1,0,"Mycobacterium"
"1766",1,0,1,0,"Mycolicibacterium fortuitum"
"1768",0,0,1,0,"Mycobacterium kansasii"
"1772",0,0,1,0,"Mycolicibacterium smegmatis"
"1773",0,1,0,0,"Mycobacterium tuberculosis"
"1789",0,0,1,1,"Mycobacterium xenopi"
"1797",0,0,1,0,"Mycolicibacterium thermoresistibile"
"1804",0,0,1,0,"Mycolicibacterium gilvum"
"1813",0,0,1,0,"Amycolatopsis"
"1824",0,1,1,1,"Nocardia asteroides"
"1827",1,1,1,0,"Rhodococcus"
"1835",1,0,0,0,"Saccharopolyspora"
"1847",0,0,1,0,"Pseudonocardia"
"1863",0,0,1,0,"Dermatophilus congolensis"
"1865",1,0,0,1,"Actinoplanes"
"1873",0,0,1,0,"Micromonospora"
"1883",1,0,1,1,"Streptomyces"
"1886",0,1,0,0,"Streptomyces albidoflavus"
"1908",1,0,0,0,"Streptomyces globisporus"
"1960",0,0,1,0,"Streptomyces vinaceus"
"2004",0,0,1,0,"Streptosporangiaceae"
"2014",0,0,1,0,"Nocardiopsis dassonvillei"
"2047",1,0,1,0,"Rothia dentocariosa"
"2054",0,1,0,0,"Gordonia bronchialis"
"2055",1,0,0,0,"Gordonia terrae"
"2061",0,0,0,1,"Tsukamurella paurometabola"
"2070",1,0,1,1,"Pseudonocardiaceae"
"2074",1,0,1,0,"Pseudonocardia autotrophica"
"2092",0,1,1,0,"Mycoplasmataceae"
"2096",1,0,1,1,"Mycoplasma gallisepticum"
"2104",0,1,1,0,"Mycoplasma pneumoniae"
"2109",0,0,1,1,"Mycoplasma synoviae"
"2113",1,0,0,0,"Mycoplasma californicum"
"2116",1,0,0,1,"Mycoplasma iowae"
"2124",0,0,1,0,"Mycoplasma salivarium"
"2132",1,1,1,0,"Spiroplasma"
"2139",1,0,0,0,"Spiroplasma clarkii"
"2146",1,1,0,0,"Acholeplasmataceae"
"2147",1,1,0,0,"Acholeplasma"
"2151",0,0,1,0,"Mesoplasma florum"
"2157",1,0,0,0,"Archaea"
"2173",0,0,1,0,"Methanobrevibacter smithii"
"2263",0,0,1,0,"Thermococcus"
"2291",0,0,1,1,"Desulfobacter hydrogenophilus"
"2299",0,0,1,0,"Desulfosarcina"
"2325",0,0,1,1,"Thermoanaerobacter kivui"
"2335",1,1,1,0,"Thermotoga"
"2342",1,0,0,0,"Candidatus Sodalis pierantonius str. SOPE"
"2371",0,0,1,0,"Xylella fastidiosa"
"2377",1,0,1,0,"Sporomusa termitida"
"2742",0,0,1,0,"Marinobacter"
"2747",0,1,1,0,"Carnobacterium"
"2748",1,0,0,0,"Carnobacterium divergens"
"2756",1,0,0,0,"Brochothrix thermosphacta"
"10449",1,0,0,0,"Lymantria dispar multiple nucleopolyhedrovirus"
"11048",1,0,1,1,"Lactate dehydrogenase-elevating virus"
"11819",0,0,1,0,"Spleen focus-forming virus"
"12657",0,0,1,0,"Equid gammaherpesvirus 2"
"12916",0,0,1,0,"Acidovorax"
"13687",1,1,1,0,"Sphingomonas"
"13689",1,0,0,0,"Sphingomonas paucimobilis"
"13690",0,0,1,0,"Sphingobium yanoikuyae"
"28028",1,0,1,0,"Corynebacterium flavescens"
"28035",1,0,0,0,"Staphylococcus lugdunensis"
"28038",1,0,1,0,"Lactobacillus curvatus"
"28070",0,0,1,0,"Gloeothece"
"28080",1,0,1,0,"Campylobacter upsaliensis"
"28091",0,0,1,0,"Neisseria weaveri"
"28132",1,0,1,0,"Prevotella melaninogenica"
"28183",0,0,0,1,"Leptospira santarosai"
"28188",0,0,1,0,"Capnocytophaga canimorsus"
"28196",1,0,0,1,"Arcobacter"
"28197",1,0,1,1,"Arcobacter butzleri"
"28200",0,0,0,1,"Arcobacter skirrowii"
"28209",0,0,0,1,"Chelatococcus"
"28231",1,1,1,0,"Geobacter"
"28251",1,0,1,0,"Ornithobacterium rhinotracheale"
"28264",1,1,0,1,"Arcanobacterium haemolyticum"
"28447",0,0,1,0,"Clavibacter michiganensis"
"28448",1,0,1,1,"Komagataeibacter xylinus"
"28449",0,0,1,0,"Neisseria subflava"
"28450",1,0,0,0,"Burkholderia pseudomallei"
"28453",1,0,0,0,"Sphingobacterium"
"28890",1,1,1,0,"Euryarchaeota"
"28894",0,0,1,0,"Streptomyces nitrosporeus"
"28898",0,0,1,1,"Campylobacter helveticus"
"28901",0,0,1,0,"Salmonella enterica"
"29382",1,0,1,0,"Staphylococcus cohnii"
"29391",0,0,1,0,"Gemella morbillorum"
"29394",1,0,0,0,"Dolosigranulum pigrum"
"29404",1,0,0,0,"Microlunatus"
"29430",0,0,1,0,"Acinetobacter haemolyticus"
"29442",1,0,1,0,"Pseudomonas tolaasii"
"29466",1,0,1,1,"Veillonella parvula"
"29486",0,1,0,0,"Yersinia ruckeri"
"29521",1,0,1,1,"Brachyspira"
"29542",0,0,1,0,"Pelobacter acetylenicus"
"29547",1,0,0,1,"Epsilonproteobacteria"
"29552",1,1,1,0,"Acholeplasma axanthum"
"29559",1,0,0,0,"Mycoplasma hyosynoviae"
"29580",1,0,0,0,"Janthinobacterium"
"31953",1,0,1,1,"Bifidobacteriaceae"
"31957",1,1,1,0,"Propionibacteriaceae"
"31964",0,0,1,0,"Clavibacter michiganensis subsp. sepedonicus"
"31969",1,0,1,1,"Mollicutes"
"31984",0,1,1,1,"Heliobacteriaceae"
"32003",0,1,1,0,"Nitrosomonadales"
"32008",0,1,1,0,"Burkholderia"
"32011",0,0,1,0,"Methylophilaceae"
"32021",1,1,1,0,"Campylobacter jejuni subsp. doylei"
"32024",1,0,0,0,"Campylobacter sputorum biovar sputorum"
"32033",1,1,1,0,"Xanthomonadaceae"
"32036",0,0,1,0,"sulfur-oxidizing symbionts"
"32051",0,0,1,0,"Synechococcus sp. WH 7803"
"32052",0,0,1,0,"Synechococcus sp. WH 8020"
"32067",1,0,0,0,"Leptotrichia"
"33010",0,0,1,0,"Cutibacterium avidum"
"33011",1,0,1,0,"Cutibacterium granulosum"
"33025",0,0,1,0,"Phascolarctobacterium faecium"
"33033",1,1,1,0,"Parvimonas micra"
"33040",0,0,1,0,"Streptococcus milleri"
"33047",0,0,1,0,"Bartonella vinsonii"
"33057",0,0,1,0,"Thauera"
"33069",0,0,1,0,"Pseudomonas viridiflava"
"33071",1,1,1,0,"Gloeobacter"
"33074",1,0,0,0,"Zymobacter palmae"
"33811",0,0,1,0,"unclassified Gammaproteobacteria (miscellaneous)"
"33882",1,0,1,0,"Microbacterium"
"33887",1,0,1,0,"Rathayibacter rathayi"
"33899",0,0,1,0,"Streptomyces galilaeus"
"33905",0,0,0,1,"Bifidobacterium thermophilum"
"33936",0,0,1,0,"Aeribacillus pallidus"
"33940",0,0,1,0,"Geobacillus thermodenitrificans"
"33945",1,1,1,0,"Enterococcus avium"
"33970",0,0,1,0,"Melissococcus plutonius"
"33986",1,0,1,1,"Exiguobacterium"
"33993",1,0,0,1,"Neorickettsia"
"33995",0,0,1,0,"Komagataeibacter europaeus"
"34004",1,0,1,1,"Paracoccus aminovorans"
"34019",0,0,1,0,"Liberibacter"
"34037",1,0,1,0,"Rahnella"
"34038",1,0,0,0,"Rahnella aquatilis"
"34061",1,0,0,0,"Moraxella cuniculi"
"34062",1,0,1,0,"Moraxella osloensis"
"34067",0,0,1,0,"Cycloclasticus"
"34073",0,0,1,0,"Variovorax paradoxus"
"34085",0,0,1,0,"Riemerella anatipestifer"
"34098",1,0,0,1,"Blattabacterium"
"35554",1,0,1,0,"Geobacter sulfurreducens"
"35623",1,0,0,1,"Acholeplasma oculi"
"35755",0,0,1,0,"Corynebacterium kutscheri"
"35757",0,0,0,1,"Corynebacterium cystitidis"
"35760",0,0,1,1,"Bifidobacterium choerinum"
"35787",1,0,1,1,"Lactobacillus pontis"
"35806",0,0,1,0,"Rhodovulum sulfidophilum"
"35841",1,1,0,0,"Bacillus thermoamylovorans"
"36739",1,0,0,0,"Dermabacter"
"36745",1,0,1,0,"Clostridium saccharoperbutylacetonicum"
"36853",1,1,1,0,"Desulfitobacterium"
"37372",1,1,1,0,"Helicobacter bilis"
"37692",1,0,0,0,"Candidatus Phytoplasma mali"
"37914",0,0,1,0,"Dietzia"
"37927",0,0,1,0,"Sinomonas atrocyanea"
"37928",0,0,1,0,"Arthrobacter crystallopoietes"
"38301",1,0,0,0,"Corynebacterium minutissimum"
"38302",0,0,0,1,"Corynebacterium mycetoides"
"38313",0,1,0,0,"Shewanella algae"
"39765",0,0,1,0,"Hydrogenovibrio crunogenus"
"39773",0,0,1,0,"Methylomicrobium"
"39777",1,0,1,1,"Veillonella atypica"
"39778",0,0,0,1,"Veillonella dispar"
"39948",1,0,1,1,"Dialister"
"39950",1,0,0,0,"Dialister pneumosintes"
"40137",0,0,1,0,"Oligotropha carboxidovorans"
"40214",0,1,1,0,"Acinetobacter johnsonii"
"40215",1,0,0,0,"Acinetobacter junii"
"40216",1,0,0,0,"Acinetobacter radioresistens"
"40323",0,1,1,0,"Stenotrophomonas"
"40324",1,0,1,0,"Stenotrophomonas maltophilia"
"40544",0,0,1,0,"Sutterella"
"40754",1,0,0,0,"Thioploca ingrica"
"41275",1,1,0,1,"Brevundimonas"
"41294",1,1,1,0,"Bradyrhizobiaceae"
"41295",1,0,1,1,"Rhodospirillaceae"
"41297",1,0,1,0,"Sphingomonadaceae"
"41899",0,0,1,0,"Burkholderia plantarii"
"42197",0,0,1,0,"Actinosynnema pretiosum"
"42256",1,1,0,0,"Rubrobacter radiotolerans"
"43263",0,0,1,0,"Pseudomonas alcaligenes"
"43658",0,0,0,1,"Pseudoalteromonas rubra"
"43668",1,0,1,1,"Brachybacterium"
"43674",1,0,0,0,"Jonesia denitrificans"
"43675",1,0,0,0,"Rothia mucilaginosa"
"43768",0,0,1,0,"Corynebacterium matruchotii"
"43770",1,0,1,0,"Corynebacterium striatum"
"43989",1,0,0,0,"Crocosphaera subtropica ATCC 51142"
"44000",1,0,1,1,"Caldicellulosiruptor"
"44008",1,1,1,0,"Enterococcus cecorum"
"44013",1,1,1,0,"Polynucleobacter"
"44251",1,0,1,1,"Paenibacillus durus"
"44260",0,0,1,0,"Moorella"
"44561",0,1,0,0,"Murine type C retrovirus"
"44577",0,0,1,1,"Nitrosomonas ureae"
"45067",1,0,0,0,"Legionella lansingensis"
"45243",0,1,1,0,"Capnocytophaga haemolytica"
"45398",1,0,1,0,"Streptomyces griseoviridis"
"45401",0,1,1,1,"Hyphomicrobiaceae"
"45668",0,0,1,0,"Halobacillus litoralis"
"46126",0,0,1,0,"Staphylococcus chromogenes"
"46127",0,0,1,0,"Staphylococcus felis"
"46170",1,0,0,1,"Staphylococcus aureus subsp. aureus"
"46254",0,0,1,0,"Oenococcus"
"46255",0,1,1,0,"Weissella"
"46541",1,0,0,0,"Thermosipho melanesiensis"
"47420",0,0,1,1,"Hydrogenophaga"
"47490",1,0,1,0,"Thermoanaerobacterium aotearoense"
"47671",1,1,1,0,"Lautropia mirabilis"
"47715",1,0,1,1,"Lactobacillus rhamnosus"
"47716",1,0,0,0,"Streptomyces olivaceus"
"47735",1,1,0,0,"Bibersteinia trehalosi"
"47770",1,1,1,0,"Lactobacillus crispatus"
"47883",0,0,1,0,"Pseudomonas synxantha"
"47884",0,0,1,0,"Pseudomonas taetrolens"
"47885",0,0,1,1,"Pseudomonas oryzihabitans"
"47886",0,0,1,0,"Pseudomonas luteola"
"47960",0,0,1,0,"Guyparkeria halophila"
"48003",0,0,1,0,"Mycoplasma pullorum"
"48461",1,0,0,0,"Verrucomicrobiales"
"48664",0,0,1,0,"Xanthomonas fragariae"
"48665",0,0,1,0,"Streptomyces viridifaciens"
"49118",0,0,0,1,"Candidatus Arthromitus sp. SFB-mouse"
"49319",1,0,1,1,"Rubrobacter xylanophilus"
"49338",1,0,1,0,"Desulfitobacterium hafniense"
"51101",0,1,1,0,"Brevibacillus agri"
"51161",0,0,1,0,"Actinobacillus delphinicola"
"51173",0,1,0,0,"Ureibacillus thermosphaericus"
"51663",0,1,0,0,"Pediococcus damnosus"
"51664",0,0,1,0,"Lactobacillus dextrinicus"
"51665",1,0,0,0,"Aerococcus urinaeequi"
"51669",1,0,0,0,"Tetragenococcus halophilus"
"52771",0,0,1,0,"Actinomyces howellii"
"52774",0,0,1,0,"Actinomyces slackii"
"53246",0,1,0,0,"Pseudoalteromonas"
